name:                    Johannisthal
osm-relation:            55758
wikidata:                Q655012
bezirk:                  Treptow-Köpenick
neighbors:               Adlershof, Baumschulenweg, Niederschöneweide, Rudow
computed-centroid:       13.504617, 52.443805
computed-area:           6643656.55
population:              19853
