name:                    Marzahn
osm-relation:            404584
wikidata:                Q702521
bezirk:                  Marzahn-Hellersdorf
neighbors:               Alt-Hohenschönhausen, Biesdorf, Falkenberg, Friedrichsfelde, Hellersdorf, Lichtenberg, Neu-Hohenschönhausen
computed-centroid:       13.552532, 52.544775
computed-area:           19519552.51
