name:                    Kaulsdorf
osm-relation:            404586
wikidata:                Q665953
bezirk:                  Marzahn-Hellersdorf
neighbors:               Biesdorf, Hellersdorf, Köpenick, Mahlsdorf
computed-centroid:       13.588167, 52.502700
computed-area:           8689002.67
