name:                    Heinersdorf
osm-relation:            409202
wikidata:                Q693540
bezirk:                  Pankow
neighbors:               Blankenburg, Pankow, Stadtrandsiedlung Malchow, Weißensee
computed-centroid:       13.441038, 52.570661
computed-area:           3851920.65
population:              7869
